driver name;qualy lap
Minardi;26.329
Mike Murphy;26.368
Palo_O;26.436
White Van Man;26.475
Perre;26.475
IxDo;26.490
Doghouse;26.606
Royal_T62;26.680
Nomosizzle;26.682
Kenjo;26.727
ImPERium;27.125
Bearder;
