driver name;team name
Minardi;Minardi Simracing
Mike Murphy;MMM
Palo_O;MMM
White Van Man;Minardi Simracing
Perre;Thunder Racing
IxDo;Thunder Racing
Doghouse;Bearder Racing
Royal_T62;Royal Performance Motorsport
Nomosizzle;Minardi Americas
Kenjo;Minardi Americas
ImPERium;Royal Performance Motorsport
Bearder;Bearder Racing
