driver name;racepoints
Minardi;10
Mike Murphy;15
Palo_O;5
White Van Man;3
Perre;12
IxDo;6
Doghouse;8
Royal_T62;4
Nomosizzle;1
Kenjo;0
ImPERium;2
Bearder;
