driver name;fastest lap
Minardi;26.370
Mike Murphy;26.481
Palo_O;26.617
White Van Man;26.612
Perre;26.206
IxDo;26.397
Doghouse;26.595
Royal_T62;26.584
Nomosizzle;26.709
Kenjo;26.697
ImPERium;27.009
Bearder;
